actor,movie_or_TV_name
Pierre Coffin,Despicable Me 4
Pierre Coffin,Minions & More Volume 2
Pierre Coffin,Minions & More 1
Pierre Coffin,Post Modern Minions
Pierre Coffin,Minions: The Rise of Gru
Pierre Coffin,Minions and Monsters
Pierre Coffin,Illumination Presents: Minions Holiday Special
Pierre Coffin,Minion Scouts
Pierre Coffin,Santa's Little Helpers
Pierre Coffin,Illumination Presents: 10 Minion Mini-Movies
Pierre Coffin,The Grinch Mini-Movies
Pierre Coffin,Yellow Is the New Black
Pierre Coffin,Minion Moments: Overkill
Pierre Coffin,Minion Moments: Drenched
Pierre Coffin,The Secret Life of Kyle
Pierre Coffin,Despicable Me 3
Pierre Coffin,Mower Minions
Pierre Coffin,Cro Minion
Pierre Coffin,Competition
Pierre Coffin,Minions
Pierre Coffin,Minions Jingle Bells
Pierre Coffin,Despicable Me 2: 3 Mini-Movie Collection
Pierre Coffin,Illumination 7 Mini-Movie Collection
Pierre Coffin,Minions: Training Wheels
Pierre Coffin,Minions: Puppy
Pierre Coffin,Panic in the Mailroom
Pierre Coffin,Despicable Me 2
Pierre Coffin,Despicable Me: Minion Mayhem
Pierre Coffin,Brad & Gary
Pierre Coffin,Despicable Me Presents: Minion Madness
Pierre Coffin,Minions: Home Makeover
Pierre Coffin,Minions: Orientation Day
Pierre Coffin,Banana
Pierre Coffin,Despicable Me
Pierre Coffin,Despicable Me 3
Pierre Coffin,Minions
Pierre Coffin,Despicable Me 2
Pierre Coffin,Brad & Gary
Pierre Coffin,Despicable Me
Pierre Coffin,Pat & Stan - Le Trésor de Pit et Mortimer
Pierre Coffin,Gary's Fall
Pierre Coffin,Caisse d'Épargne - La Banque des jeunes
Pierre Coffin,Pings
Pierre Coffin,Minions: Training Wheels
Pierre Coffin,Minions: Puppy
Pierre Coffin,Panic in the Mailroom
Pierre Coffin,Despicable Me Presents: Minion Madness
Pierre Coffin,Illumination Presents: Minions Holiday Special
Pierre Coffin,Despicable Me Presents: Minion Madness
Pierre Coffin,Banana
Bob Bergen,Oddballs
Bob Bergen,The Little Guy
Bob Bergen,Bugs Bunny Builders
Bob Bergen,Minions: The Rise of Gru
Bob Bergen,Seal Team
Bob Bergen,Ridley Jones
Bob Bergen,Space Jam: A New Legacy
Bob Bergen,Star Wars: The Bad Batch
Bob Bergen,Cartoon Classics - 28 Favorites of the Golden-Era Cartoons - Vol 1: 4 Hours
Bob Bergen,Animaniacs
Bob Bergen,Looney Tunes Cartoons
Bob Bergen,Overdue Duck
Bob Bergen,The Curse of the Monkey Bird
Bob Bergen,The Emoji Movie
Bob Bergen,Despicable Me 3
Bob Bergen,Deep
Bob Bergen,Smurfs: The Lost Village
Bob Bergen,Sing
Bob Bergen,The Secret Life of Pets
Bob Bergen,The Numberlys
Bob Bergen,New Looney Tunes
Bob Bergen,Looney Tunes: Rabbits Run
Bob Bergen,Minions
Bob Bergen,Inside Out
Bob Bergen,Remember the Sultana
Bob Bergen,Clarence
Bob Bergen,I Know That Voice
Bob Bergen,Get a Horse!
Bob Bergen,Monsters University
Bob Bergen,Marvel's Avengers
Bob Bergen,Escape from Planet Earth
Bob Bergen,Wreck-It Ralph
Bob Bergen,Foodfight!
Bob Bergen,Time Travel Mater
Bob Bergen,The Lorax
Bob Bergen,Small Fry
Bob Bergen,Tom and Jerry & The Wizard of Oz
Bob Bergen,Air Mater
Bob Bergen,The Looney Tunes Show
Bob Bergen,Robot Chicken: Star Wars Episode III
Bob Bergen,Tangled
Bob Bergen,Tinker Bell and the Great Fairy Rescue
Bob Bergen,Laff Riot
Bob Bergen,Cloudy with a Chance of Meatballs
Bob Bergen,Tinker Bell and the Lost Treasure
Bob Bergen,Up
Bob Bergen,Robot Chicken: Star Wars Episode II
Bob Bergen,Cars Toon Mater's Tall Tales
Bob Bergen,Mel Blanc: The Man of a Thousand Voices
Bob Bergen,Big & Small
Bob Bergen,Star Wars: The Clone Wars
Bob Bergen,Tinker Bell
Bob Bergen,WALL·E
Bob Bergen,Horton Hears a Who!
Bob Bergen,Robot Chicken: Star Wars
Bob Bergen,Surf's Up
Bob Bergen,Happily N'Ever After
Bob Bergen,"Bah, Humduck!: A Looney Tunes Christmas"
Bob Bergen,Cars
Bob Bergen,Ice Age: The Meltdown
Bob Bergen,The Wild
Bob Bergen,The Emperor's New School
Bob Bergen,Kronk's New Groove
Bob Bergen,Loonatics Unleashed
Bob Bergen,The Incredibles
Bob Bergen,My Generation G... G... Gap
Bob Bergen,Looney Tunes: Back in Action
Bob Bergen,Looney Tunes: Reality Check
Bob Bergen,Looney Tunes: Stranger Than Fiction
Bob Bergen,Duck Dodgers
Bob Bergen,Finding Nemo
Bob Bergen,The Wild Thornberrys Movie
Bob Bergen,Treasure Planet
Bob Bergen,The Santa Clause 2
Bob Bergen,Cinderella II: Dreams Come True
Bob Bergen,"Monsters, Inc."
Bob Bergen,Scooby-Doo! and the Cyber Chase
Bob Bergen,Shrek
Bob Bergen,The Emperor's New Groove
Bob Bergen,Toy Story 2
Bob Bergen,Sabrina: The Animated Series
Bob Bergen,The Iron Giant
Bob Bergen,Tarzan
Bob Bergen,A Bug's Life
Bob Bergen,Mulan
Bob Bergen,Anastasia
Bob Bergen,Cats Don't Dance
Bob Bergen,Space Jam
Bob Bergen,Superior Duck
Bob Bergen,The Hunchback of Notre Dame
Bob Bergen,Dunston Checks In
Bob Bergen,Carrotblanca
Bob Bergen,Spider-Man
Bob Bergen,Shout
Bob Bergen,Roc
Bob Bergen,Problem Child
Bob Bergen,Total Recall
Bob Bergen,Beetle Bailey
Bob Bergen,Fraggle Rock: The Animated Series
Bob Bergen,Jim Henson's Little Muppet Monsters
Bob Bergen,Gremlins
Debra Wilson,That's Our Time
Debra Wilson,Call Me Miss Cleo
Debra Wilson,Reindeer in Here
Debra Wilson,Mickey Saves Christmas
Debra Wilson,Mortal Kombat Legends: Snow Blind
Debra Wilson,Oddballs
Debra Wilson,Minions: The Rise of Gru
Debra Wilson,Lightyear
Debra Wilson,Hypochondriac
Debra Wilson,Hotel Transylvania: Transformania
Debra Wilson,Moon Manor
Debra Wilson,We Baby Bears
Debra Wilson,Sing 2
Debra Wilson,Dogs in Space
Debra Wilson,Star Trek: Prodigy
Debra Wilson,Untold: This Is My Story
Debra Wilson,The Desperate Hour
Debra Wilson,Mortal Kombat Legends: Battle of the Realms
Debra Wilson,Mickey Mouse Funhouse
Debra Wilson,The Loud House Movie
Debra Wilson,What If...?
Debra Wilson,After Masks
Debra Wilson,"Ben 10: Ben 10,010"
Debra Wilson,Baby Shark's Big Show!
Debra Wilson,Close Enough
Debra Wilson,Star Wars: The Rise of Skywalker
Debra Wilson,Mao Mao: Heroes of Pure Heart
Debra Wilson,"Love, Death & Robots"
Debra Wilson,Painkillers
Debra Wilson,Living Room Coffin
Debra Wilson,The Christmas Chronicles
Debra Wilson,Bodied
Debra Wilson,The Invisible Mother
Debra Wilson,The Nun
Debra Wilson,The Last Sharknado: It's About Time
Debra Wilson,Hotel Transylvania 3: Summer Vacation
Debra Wilson,Her Side of the Bed
Debra Wilson,Amelia 2.0
Debra Wilson,The Emoji Movie
Debra Wilson,All Hail King Julien: Exiled
Debra Wilson,Open Marriage
Debra Wilson,Man with a Plan
Debra Wilson,Dead 7
Debra Wilson,Caged No More
Debra Wilson,Life in Pieces
Debra Wilson,Hotel Transylvania 2
Debra Wilson,Pig Goat Banana Cricket
Debra Wilson,Alton & Kenya's Outrageous Wedding
Debra Wilson,Mothers of the Bride
Debra Wilson,All Hail King Julien
Debra Wilson,The Hobbit: The Battle of the Five Armies
Debra Wilson,Z Nation
Debra Wilson,The 10 Year Plan
Debra Wilson,Untold
Debra Wilson,Fatal Acquittal
Debra Wilson,Knock 'em Dead
Debra Wilson,Midlife
Debra Wilson,Black Dynamite
Debra Wilson,Regular Show
Debra Wilson,Perfect Combination
Debra Wilson,The Haunted World of El Superbeasto
Debra Wilson,RuPaul's Drag Race
Debra Wilson,90210
Debra Wilson,Terminator: The Sarah Connor Chronicles
Debra Wilson,The Chosen One
Debra Wilson,Super Sweet 16: The Movie
Debra Wilson,If I Had Known I Was a Genius
Debra Wilson,The Greg Behrendt Show
Debra Wilson,Over the Hedge
Debra Wilson,Scary Movie 4
Debra Wilson,The Adventures of Brer Rabbit
Debra Wilson,In Justice
Debra Wilson,Whitepaddy
Debra Wilson,The Reichen Show
Debra Wilson,Dancing with the Stars
Debra Wilson,American Dad!
Debra Wilson,Target
Debra Wilson,Nine Lives
Debra Wilson,I'm with Her
Debra Wilson,Trish Stratus: 100% Stratusfaction
Debra Wilson,Reno 911!
Debra Wilson,Skin Deep
Debra Wilson,That's So Raven
Debra Wilson,Rapsittie Street Kids: Believe in Santa
Debra Wilson,Clone High
Debra Wilson,Without a Trace
Debra Wilson,Pet Star
