actor,movie_or_TV_name
Pierre Coffin,Despicable Me 4
Pierre Coffin,Minions & More Volume 2
Pierre Coffin,Minions & More 1
Pierre Coffin,Post Modern Minions
Pierre Coffin,Minions: The Rise of Gru
Pierre Coffin,Minions and Monsters
Pierre Coffin,Illumination Presents: Minions Holiday Special
Pierre Coffin,Minion Scouts
Pierre Coffin,Santa's Little Helpers
Pierre Coffin,Illumination Presents: 10 Minion Mini-Movies
Pierre Coffin,The Grinch Mini-Movies
Pierre Coffin,Yellow Is the New Black
Pierre Coffin,Minion Moments: Overkill
Pierre Coffin,Minion Moments: Drenched
Pierre Coffin,The Secret Life of Kyle
Pierre Coffin,Despicable Me 3
Pierre Coffin,Mower Minions
Pierre Coffin,Cro Minion
Pierre Coffin,Competition
Pierre Coffin,Minions
Pierre Coffin,Minions Jingle Bells
Pierre Coffin,Despicable Me 2: 3 Mini-Movie Collection
Pierre Coffin,Illumination 7 Mini-Movie Collection
Pierre Coffin,Minions: Training Wheels
Pierre Coffin,Minions: Puppy
Pierre Coffin,Panic in the Mailroom
Pierre Coffin,Despicable Me 2
Pierre Coffin,Despicable Me: Minion Mayhem
Pierre Coffin,Brad & Gary
Pierre Coffin,Despicable Me Presents: Minion Madness
Pierre Coffin,Minions: Home Makeover
Pierre Coffin,Minions: Orientation Day
Pierre Coffin,Banana
Pierre Coffin,Despicable Me
Debra Wilson,That's Our Time
Debra Wilson,Call Me Miss Cleo
Debra Wilson,Reindeer in Here
Debra Wilson,Mickey Saves Christmas
Debra Wilson,Mortal Kombat Legends: Snow Blind
Debra Wilson,Oddballs
Debra Wilson,Minions: The Rise of Gru
Debra Wilson,Lightyear
Debra Wilson,Hypochondriac
Debra Wilson,Hotel Transylvania: Transformania
Debra Wilson,Moon Manor
Debra Wilson,We Baby Bears
Debra Wilson,Sing 2
Debra Wilson,Dogs in Space
Debra Wilson,Star Trek: Prodigy
Debra Wilson,Untold: This Is My Story
Debra Wilson,The Desperate Hour
Debra Wilson,Mortal Kombat Legends: Battle of the Realms
Debra Wilson,Mickey Mouse Funhouse
Debra Wilson,The Loud House Movie
Debra Wilson,What If...?
Debra Wilson,After Masks
Debra Wilson,"Ben 10: Ben 10,010"
Debra Wilson,Baby Shark's Big Show!
Debra Wilson,Close Enough
Debra Wilson,Star Wars: The Rise of Skywalker
Debra Wilson,Mao Mao: Heroes of Pure Heart
Debra Wilson,"Love, Death & Robots"
Debra Wilson,Painkillers
Debra Wilson,Living Room Coffin
Debra Wilson,The Christmas Chronicles
Debra Wilson,Bodied
Debra Wilson,The Invisible Mother
Debra Wilson,The Nun
Debra Wilson,The Last Sharknado: It's About Time
Debra Wilson,Hotel Transylvania 3: Summer Vacation
Debra Wilson,Her Side of the Bed
Debra Wilson,Amelia 2.0
Debra Wilson,The Emoji Movie
Debra Wilson,All Hail King Julien: Exiled
Debra Wilson,Open Marriage
Debra Wilson,Man with a Plan
Debra Wilson,Dead 7
Debra Wilson,Caged No More
Debra Wilson,Life in Pieces
Debra Wilson,Hotel Transylvania 2
Debra Wilson,Pig Goat Banana Cricket
Debra Wilson,Alton & Kenya's Outrageous Wedding
Debra Wilson,Mothers of the Bride
Debra Wilson,All Hail King Julien
Debra Wilson,The Hobbit: The Battle of the Five Armies
Debra Wilson,Z Nation
Debra Wilson,The 10 Year Plan
Debra Wilson,Untold
Debra Wilson,Fatal Acquittal
Debra Wilson,Knock 'em Dead
Debra Wilson,Midlife
Debra Wilson,Black Dynamite
Debra Wilson,Regular Show
Debra Wilson,Perfect Combination
Debra Wilson,The Haunted World of El Superbeasto
Debra Wilson,RuPaul's Drag Race
Debra Wilson,90210
Debra Wilson,Terminator: The Sarah Connor Chronicles
Debra Wilson,The Chosen One
Debra Wilson,Super Sweet 16: The Movie
Debra Wilson,If I Had Known I Was a Genius
Debra Wilson,The Greg Behrendt Show
Debra Wilson,Over the Hedge
Debra Wilson,Scary Movie 4
Debra Wilson,The Adventures of Brer Rabbit
Debra Wilson,In Justice
Debra Wilson,Whitepaddy
Debra Wilson,The Reichen Show
Debra Wilson,Dancing with the Stars
Debra Wilson,American Dad!
Debra Wilson,Target
Debra Wilson,Nine Lives
Debra Wilson,I'm with Her
Debra Wilson,Trish Stratus: 100% Stratusfaction
Debra Wilson,Reno 911!
Debra Wilson,Skin Deep
Debra Wilson,That's So Raven
Debra Wilson,Rapsittie Street Kids: Believe in Santa
Debra Wilson,Clone High
Debra Wilson,Without a Trace
Debra Wilson,Pet Star
Debra Wilson,Jane White Is Sick & Twisted
Debra Wilson,Gary & Mike
Debra Wilson,CSI: Crime Scene Investigation
Debra Wilson,The Parkers
Debra Wilson,Family Guy
Debra Wilson,The Mr. Potato Head Show
Debra Wilson,Star Trek: The Experience -  Klingon Encounter
Debra Wilson,Asylum
Debra Wilson,B.A.P.S.
Debra Wilson,Sleeping Together
Debra Wilson,Girl 6
Debra Wilson,MADtv
Debra Wilson,WCW Monday Nitro
Debra Wilson,Star Trek: Deep Space Nine
Debra Wilson,Whose Line Is It Anyway?
Kyle Balda,Minions: The Rise of Gru
Kyle Balda,Illumination Presents: 10 Minion Mini-Movies
Kyle Balda,Despicable Me 3
Kyle Balda,Weenie
Kyle Balda,Competition
Kyle Balda,Minions
Kyle Balda,Wagon Ho!
Kyle Balda,Forces of Nature
Kyle Balda,Serenade
Kyle Balda,The Lorax
Kyle Balda,Minions: Orientation Day
Kyle Balda,Minions: Home Makeover
Kyle Balda,Banana
Kyle Balda,Bananarama - Video Collection 1982-2009
Raymond S. Persi,Zootopia+
Raymond S. Persi,Minions & More 1
Raymond S. Persi,Minions: The Rise of Gru
Raymond S. Persi,Extinct
Raymond S. Persi,Illumination Presents: Minions Holiday Special
Raymond S. Persi,Santa's Little Helpers
Raymond S. Persi,Ralph Breaks the Internet
Raymond S. Persi,Inner Workings
Raymond S. Persi,Zootopia
Raymond S. Persi,Get a Horse!
Raymond S. Persi,Frozen
Raymond S. Persi,Wreck-It Ralph
Colette Whitaker,Minions: The Rise of Gru
Colette Whitaker,Sing 2
Colette Whitaker,Star Trek: Short Treks
Colette Whitaker,Being Dolphin 4D
Colette Whitaker,Will & Grace
Colette Whitaker,Star Trek: Discovery
Colette Whitaker,Norman Television
Colette Whitaker,We Bare Bears
Colette Whitaker,Minions
Colette Whitaker,Monsters University
Colette Whitaker,Toy Story 3
Colette Whitaker,WALL·E
Colette Whitaker,Revisioned: Tomb Raider
Colette Whitaker,Cars
Colette Whitaker,Stroker and Hoop
Michael Beattie,Minions & More Volume 2
Michael Beattie,Minions: The Rise of Gru
Michael Beattie,The Secret Life of Pets 2
Michael Beattie,The Grinch
Michael Beattie,Despicable Me 3
Michael Beattie,The Secret Life of Pets
Michael Beattie,Binky Nelson Unpacified
Michael Beattie,Minions
Michael Beattie,The Lorax
Michael Beattie,Cats & Dogs: The Revenge of Kitty Galore
Michael Beattie,The Bet
Michael Beattie,Swept Away
Michael Beattie,Star
Michael Beattie,The Hire
Michael Beattie,As Told by Ginger
Michael Beattie,Best Man in Grass Creek
Michael Beattie,Conan the Adventurer
Michael Beattie,Countdown to Looking Glass
Kevin Michael Richardson,Frog and Toad
Kevin Michael Richardson,The Super Mario Bros. Movie
Kevin Michael Richardson,The Boss Baby: Christmas Bonus
Kevin Michael Richardson,Trick or Treat Scooby-Doo!
Kevin Michael Richardson,Welcome to the Club
Kevin Michael Richardson,Tom and Jerry Snowman's Land
Kevin Michael Richardson,LEGO Star Wars Summer Vacation
Kevin Michael Richardson,Bad Hamster
Kevin Michael Richardson,Naked Mole Rat Gets Dressed: The Underground Rock Experience
Kevin Michael Richardson,Minions: The Rise of Gru
Kevin Michael Richardson,Eureka!
Kevin Michael Richardson,Battle Kitty
Kevin Michael Richardson,The Boys Presents: Diabolical
Kevin Michael Richardson,For Gunter’s Eyes Only
Kevin Michael Richardson,The Proud Family: Louder and Prouder
Kevin Michael Richardson,Big Nate
Kevin Michael Richardson,We Baby Bears
Kevin Michael Richardson,Saturday Morning All Star Hits!
Kevin Michael Richardson,Masters of the Universe: Revelation
Kevin Michael Richardson,Marvel's M.O.D.O.K.
Kevin Michael Richardson,Invincible
Kevin Michael Richardson,Extinct
Kevin Michael Richardson,Animaniacs
Kevin Michael Richardson,Trolls: TrollsTopia
Kevin Michael Richardson,The Boss Baby: Get That Baby!
Kevin Michael Richardson,Star Trek: Lower Decks
Kevin Michael Richardson,Close Enough
Kevin Michael Richardson,We Bare Bears: The Movie
Kevin Michael Richardson,Adventure Time: Distant Lands
Kevin Michael Richardson,Looney Tunes Cartoons
Kevin Michael Richardson,Mortal Kombat Legends: Scorpion's Revenge
Kevin Michael Richardson,Trolls World Tour
Kevin Michael Richardson,Yabba-Dabba Dinosaurs
Kevin Michael Richardson,The Owl House
Kevin Michael Richardson,Fast & Furious Spy Racers
